* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 17, 2025 9:00:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 60.076 53.1560
20.287556 60.013 51.6339
20.434568 59.924 49.6080
20.582645 59.809 47.1976
20.731796 59.668 44.5455
20.882027 59.501 41.8137
21.033346 59.312 39.1845
21.185763 59.108 36.8680
21.339284 58.904 35.1207
21.493917 58.720 34.2770
21.649671 58.588 34.7979
21.806553 58.546 37.3255
21.964572 58.635 42.6777
22.123737 58.888 51.5427
22.284054 59.322 63.5299
22.445534 59.924 76.3061
22.608183 60.667 86.9688
22.772012 61.509 94.2932
22.937027 62.415 98.6352
23.103238 63.352 100.7979
23.270654 64.299 101.4699
23.439282 65.242 101.1329
23.609133 66.173 100.1046
23.780215 67.088 98.5939
23.952536 67.986 96.7417
24.126106 68.869 94.6486
24.300934 69.739 92.3936
24.477028 70.601 90.0445
24.654399 71.461 87.6647
24.833055 72.326 85.3148
25.013005 73.203 83.0504
25.194260 74.099 80.9164
25.376828 75.019 78.9374
25.560719 75.963 77.1070
25.745942 76.930 75.3789
25.932508 77.913 73.6637
26.120426 78.903 71.8374
26.309705 79.889 69.7599
26.500356 80.859 67.2998
26.692388 81.801 64.3562
26.885812 82.705 60.8709
27.080638 83.562 56.8291
27.276876 84.363 52.2524
27.474535 85.103 47.1885
27.673627 85.778 41.7005
27.874161 86.384 35.8598
28.076149 86.919 29.7397
28.279600 87.382 23.4131
28.484526 87.773 16.9496
28.690937 88.092 10.4155
28.898843 88.340 3.8728
29.108256 88.521 -2.6209
29.319186 88.638 -9.0132
29.531645 88.696 -15.2568
29.745644 88.700 -21.3106
29.961193 88.657 -27.1410
30.178304 88.577 -32.7226
30.396989 88.466 -38.0393
30.617258 88.336 -43.0848
30.839123 88.195 -47.8624
31.062596 88.051 -52.3838
31.287688 87.912 -56.6670
31.514412 87.783 -60.7338
31.742778 87.667 -64.6071
31.972800 87.565 -68.3086
32.204488 87.480 -71.8576
32.437855 87.409 -75.2707
32.672913 87.353 -78.5618
32.909674 87.312 -81.7440
33.148151 87.285 -84.8296
33.388356 87.272 -87.8314
33.630302 87.272 -90.7620
33.874001 87.285 -93.6335
34.119466 87.310 -96.4570
34.366710 87.344 -99.2412
34.615745 87.387 -101.9928
34.866585 87.437 -104.7163
35.119243 87.493 -107.4149
35.373731 87.554 -110.0908
35.630064 87.619 -112.7459
35.888254 87.688 -115.3824
36.148315 87.760 -118.0024
36.410261 87.834 -120.6075
36.674104 87.910 -123.1993
36.939860 87.988 -125.7785
37.207542 88.067 -128.3456
37.477163 88.147 -130.9013
37.748738 88.229 -133.4467
38.022281 88.311 -135.9838
38.297806 88.395 -138.5159
38.575327 88.481 -141.0468
38.854860 88.569 -143.5810
39.136419 88.657 -146.1231
39.420017 88.747 -148.6769
39.705671 88.836 -151.2454
39.993395 88.925 -153.8306
40.283203 89.013 -156.4333
40.575112 89.100 -159.0537
40.869136 89.185 -161.6910
41.165290 89.268 -164.3441
41.463591 89.348 -167.0115
41.764053 89.427 -169.6914
42.066693 89.503 -172.3824
42.371525 89.577 -175.0830
42.678567 89.649 -177.7927
42.987834 89.720 179.4883
43.299341 89.789 176.7588
43.613106 89.857 174.0164
43.929145 89.924 171.2582
44.247473 89.988 168.4804
44.568109 90.049 165.6796
44.891068 90.106 162.8526
45.216367 90.157 159.9973
45.544023 90.202 157.1125
45.874054 90.239 154.1987
46.206476 90.266 151.2574
46.541307 90.283 148.2914
46.878565 90.288 145.3048
47.218266 90.281 142.3025
47.560429 90.260 139.2904
47.905072 90.225 136.2756
48.252212 90.175 133.2666
48.601867 90.110 130.2737
48.954056 90.029 127.3084
49.308798 89.932 124.3839
49.666109 89.820 121.5138
50.026010 89.693 118.7119
50.388520 89.554 115.9902
50.753656 89.405 113.3593
51.121437 89.247 110.8257
51.491884 89.084 108.3931
51.865016 88.919 106.0604
52.240851 88.755 103.8222
52.619410 88.595 101.6685
53.000712 88.441 99.5845
53.384777 88.296 97.5519
53.771625 88.161 95.5501
54.161276 88.035 93.5580
54.553751 87.918 91.5570
54.949070 87.808 89.5327
55.347254 87.704 87.4770
55.748323 87.602 85.3876
56.152298 87.501 83.2680
56.559201 87.401 81.1249
56.969052 87.302 78.9665
57.381873 87.205 76.8000
57.797686 87.111 74.6309
58.216512 87.022 72.4617
58.638373 86.940 70.2927
59.063291 86.866 68.1216
59.491288 86.800 65.9425
59.922386 86.744 63.7451
60.356608 86.697 61.5133
60.793977 86.659 59.2260
61.234515 86.626 56.8584
61.678246 86.596 54.3865
62.125192 86.561 51.7902
62.575377 86.516 49.0568
63.028824 86.455 46.1820
63.485557 86.372 43.1693
63.945599 86.265 40.0277
64.408975 86.130 36.7699
64.875709 85.967 33.4102
65.345825 85.776 29.9640
65.819348 85.558 26.4471
66.296302 85.316 22.8766
66.776713 85.052 19.2700
67.260604 84.769 15.6440
67.748002 84.472 12.0124
68.238932 84.167 8.3826
68.733420 83.859 4.7533
69.231490 83.554 1.1122
69.733170 83.258 -2.5640
70.238485 82.976 -6.3091
70.747463 82.712 -10.1650
71.260128 82.469 -14.1801
71.776508 82.246 -18.4072
72.296630 82.047 -22.9022
72.820521 81.872 -27.7219
73.348209 81.722 -32.9231
73.879720 81.600 -38.5594
74.415083 81.509 -44.6774
74.954326 81.453 -51.3109
75.497475 81.438 -58.4735
76.044561 81.467 -66.1487
76.595612 81.546 -74.2847
77.150655 81.678 -82.7914
77.709720 81.866 -91.5475
78.272837 82.110 -100.4160
78.840034 82.408 -109.2651
79.411342 82.755 -117.9878
79.986789 83.145 -126.5142
80.566406 83.570 -134.8138
81.150224 84.021 -142.8898
81.738272 84.486 -150.7678
82.330581 84.957 -158.4842
82.927182 85.422 -166.0757
83.528107 85.873 -173.5719
84.133386 86.302 179.0096
84.743051 86.701 171.6647
85.357134 87.065 164.4013
85.975667 87.388 157.2369
86.598682 87.666 150.1949
87.226212 87.894 143.2997
87.858289 88.069 136.5750
88.494946 88.189 130.0401
89.136217 88.252 123.7107
89.782135 88.256 117.5978
90.432733 88.201 111.7098
91.088046 88.088 106.0530
91.748108 87.919 100.6332
92.412952 87.698 95.4567
93.082615 87.431 90.5308
93.757130 87.122 85.8646
94.436533 86.781 81.4681
95.120859 86.414 77.3511
95.810144 86.032 73.5218
96.504423 85.643 69.9835
97.203734 85.255 66.7324
97.908112 84.878 63.7551
98.617595 84.519 61.0275
99.332219 84.184 58.5143
100.052021 83.882 56.1714
100.777039 83.618 53.9470
101.507311 83.398 51.7858
102.242875 83.228 49.6306
102.983769 83.116 47.4249
103.730032 83.067 45.1124
104.481702 83.086 42.6371
105.238820 83.177 39.9404
106.001424 83.341 36.9587
106.769554 83.575 33.6220
107.543250 83.874 29.8521
108.322553 84.229 25.5632
109.107503 84.629 20.6643
109.898141 85.062 15.0618
110.694508 85.516 8.6629
111.496646 85.977 1.3804
112.304596 86.434 -6.8650
113.118402 86.877 -16.1392
113.938104 87.296 -26.4886
114.763747 87.685 -37.9260
115.595372 88.038 -50.4061
116.433024 88.353 -63.7913
117.276746 88.630 -77.8209
118.126581 88.872 -92.1145
118.982575 89.085 -106.2341
119.844772 89.275 -119.7837
120.713217 89.449 -132.4935
121.587954 89.617 -144.2454
122.469031 89.784 -155.0442
123.356492 89.957 -164.9700
124.250384 90.138 -174.1338
125.150753 90.329 177.3508
126.057647 90.529 169.3813
126.971113 90.734 161.8713
127.891198 90.940 154.7493
128.817950 91.141 147.9558
129.751418 91.332 141.4419
130.691651 91.505 135.1672
131.638696 91.657 129.1000
132.592604 91.783 123.2172
133.553425 91.881 117.5044
134.521208 91.949 111.9550
135.496004 91.989 106.5684
136.477864 92.000 101.3477
137.466839 91.986 96.2961
138.462981 91.947 91.4150
139.466340 91.887 86.7017
140.476971 91.808 82.1489
141.494925 91.712 77.7457
142.520256 91.602 73.4783
143.553016 91.477 69.3328
144.593260 91.338 65.2966
145.641043 91.184 61.3608
146.696418 91.011 57.5231
147.759441 90.815 53.7887
148.830166 90.592 50.1725
149.908651 90.338 46.6998
150.994951 90.049 43.4059
152.089123 89.722 40.3353
153.191223 89.356 37.5409
154.301310 88.953 35.0796
155.419441 88.515 33.0089
156.545674 88.051 31.3820
157.680069 87.568 30.2424
158.822683 87.078 29.6213
159.973578 86.596 29.5350
161.132813 86.139 29.9824
162.300447 85.726 30.9442
163.476543 85.377 32.3768
164.661162 85.111 34.2048
165.854364 84.946 36.3123
167.056213 84.892 38.5400
168.266772 84.950 40.6989
169.486102 85.113 42.5956
170.714268 85.363 44.0663
171.951334 85.678 44.9996
173.197364 86.033 45.3442
174.452424 86.407 45.0999
175.716578 86.782 44.3014
176.989893 87.143 43.0020
178.272434 87.480 41.2605
179.564270 87.786 39.1345
180.865467 88.053 36.6771
182.176092 88.275 33.9384
183.496216 88.447 30.9670
184.825905 88.564 27.8157
186.165229 88.619 24.5435
187.514259 88.607 21.2188
188.873065 88.526 17.9200
190.241717 88.374 14.7354
191.620287 88.152 11.7606
193.008847 87.863 9.0996
194.407468 87.513 6.8647
195.816225 87.112 5.1770
197.235190 86.673 4.1624
198.664438 86.214 3.9391
200.104042 85.759 4.5913
201.554078 85.336 6.1267
203.014622 84.976 8.4290
204.485750 84.706 11.2340
205.967538 84.544 14.1661
207.460064 84.490 16.8339
208.963405 84.531 18.9379
210.477640 84.641 20.3265
212.002848 84.790 20.9901
213.539108 84.949 21.0201
215.086500 85.096 20.5681
216.645105 85.218 19.8174
218.215005 85.310 18.9669
219.796281 85.376 18.2214
221.389015 85.432 17.7859
222.993292 85.498 17.8572
224.609193 85.600 18.6079
226.236804 85.766 20.1539
227.876209 86.016 22.4977
229.527494 86.360 25.4655
231.190745 86.792 28.6832
232.866048 87.291 31.6481
234.553491 87.830 33.8820
236.253163 88.375 35.0728
237.965150 88.897 35.1196
239.689544 89.368 34.0918
241.426433 89.771 32.1583
243.175909 90.091 29.5312
244.938062 90.322 26.4283
246.712984 90.464 23.0516
248.500768 90.522 19.5750
250.301507 90.506 16.1378
252.115295 90.426 12.8452
253.942226 90.298 9.7709
255.782396 90.134 6.9624
257.635901 89.952 4.4464
259.502837 89.764 2.2312
261.383301 89.587 0.3075
263.277392 89.432 -1.3530
265.185209 89.313 -2.7988
267.106850 89.237 -4.0974
269.042417 89.206 -5.3317
270.992009 89.216 -6.5901
272.955729 89.259 -7.9526
274.933678 89.319 -9.4764
276.925961 89.380 -11.1835
278.932681 89.426 -13.0569
280.953942 89.444 -15.0457
282.989850 89.428 -17.0763
285.040511 89.379 -19.0697
287.106032 89.301 -20.9595
289.186521 89.206 -22.7075
291.282086 89.105 -24.3138
293.392836 89.011 -25.8167
295.518881 88.930 -27.2806
297.660333 88.863 -28.7759
299.817302 88.805 -30.3566
301.989902 88.747 -32.0469
304.178245 88.679 -33.8370
306.382446 88.594 -35.6912
308.602620 88.487 -37.5614
310.838882 88.356 -39.4015
313.091348 88.200 -41.1720
315.360137 88.019 -42.8326
317.645367 87.809 -44.3268
319.947156 87.567 -45.5696
322.265625 87.293 -46.4492
324.600895 86.991 -46.8473
326.953086 86.673 -46.6755
329.322323 86.354 -45.9180
331.708729 86.056 -44.6615
334.112427 85.797 -43.0891
336.533543 85.591 -41.4320
338.972204 85.444 -39.8992
341.428536 85.356 -38.6281
343.902668 85.323 -37.6749
346.394729 85.337 -37.0371
348.904848 85.394 -36.6860
351.433156 85.487 -36.5925
353.979786 85.611 -36.7411
356.544869 85.759 -37.1338
359.128540 85.921 -37.7843
361.730934 86.085 -38.7057
364.352185 86.238 -39.8950
366.992431 86.365 -41.3206
369.651810 86.455 -42.9167
372.330459 86.500 -44.5857
375.028519 86.498 -46.2013
377.746130 86.449 -47.6113
380.483434 86.364 -48.6418
383.240574 86.257 -49.1066
