* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2025 3:03:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 58.533 80.7108
20.287556 58.728 79.4040
20.434568 58.977 77.6918
20.582645 59.267 75.6399
20.731796 59.581 73.3141
20.882027 59.909 70.7757
21.033346 60.240 68.0780
21.185763 60.568 65.2661
21.339284 60.886 62.3774
21.493917 61.192 59.4428
21.649671 61.483 56.4891
21.806553 61.758 53.5396
21.964572 62.016 50.6155
22.123737 62.259 47.7365
22.284054 62.487 44.9212
22.445534 62.702 42.1864
22.608183 62.906 39.5465
22.772012 63.104 37.0129
22.937027 63.297 34.5923
23.103238 63.490 32.2866
23.270654 63.684 30.0922
23.439282 63.883 28.0005
23.609133 64.087 25.9996
23.780215 64.296 24.0766
23.952536 64.506 22.2207
24.126106 64.717 20.4264
24.300934 64.924 18.6966
24.477028 65.126 17.0444
24.654399 65.321 15.4932
24.833055 65.512 14.0755
25.013005 65.703 12.8295
25.194260 65.901 11.7941
25.376828 66.117 11.0020
25.560719 66.365 10.4717
25.745942 66.658 10.2006
25.932508 67.007 10.1604
26.120426 67.421 10.2972
26.309705 67.903 10.5379
26.500356 68.450 10.8013
26.692388 69.057 11.0109
26.885812 69.716 11.1037
27.080638 70.418 11.0341
27.276876 71.155 10.7702
27.474535 71.921 10.2873
27.673627 72.707 9.5596
27.874161 73.506 8.5558
28.076149 74.310 7.2387
28.279600 75.110 5.5686
28.484526 75.896 3.5104
28.690937 76.658 1.0405
28.898843 77.387 -1.8486
29.108256 78.074 -5.1461
29.319186 78.713 -8.8244
29.531645 79.297 -12.8415
29.745644 79.822 -17.1454
29.961193 80.287 -21.6780
30.178304 80.691 -26.3780
30.396989 81.034 -31.1846
30.617258 81.318 -36.0391
30.839123 81.548 -40.8874
31.062596 81.728 -45.6812
31.287688 81.865 -50.3794
31.514412 81.966 -54.9497
31.742778 82.038 -59.3685
31.972800 82.089 -63.6217
32.204488 82.125 -67.7041
32.437855 82.154 -71.6180
32.672913 82.181 -75.3714
32.909674 82.209 -78.9765
33.148151 82.241 -82.4470
33.388356 82.279 -85.7966
33.630302 82.322 -89.0384
33.874001 82.373 -92.1841
34.119466 82.431 -95.2442
34.366710 82.495 -98.2288
34.615745 82.567 -101.1475
34.866585 82.647 -104.0100
35.119243 82.733 -106.8259
35.373731 82.826 -109.6044
35.630064 82.926 -112.3541
35.888254 83.030 -115.0822
36.148315 83.140 -117.7952
36.410261 83.252 -120.4979
36.674104 83.368 -123.1949
36.939860 83.485 -125.8895
37.207542 83.604 -128.5851
37.477163 83.723 -131.2845
37.748738 83.842 -133.9908
38.022281 83.959 -136.7063
38.297806 84.074 -139.4331
38.575327 84.186 -142.1722
38.854860 84.292 -144.9231
39.136419 84.391 -147.6836
39.420017 84.483 -150.4490
39.705671 84.566 -153.2123
39.993395 84.641 -155.9648
40.283203 84.707 -158.6964
40.575112 84.765 -161.3977
40.869136 84.819 -164.0607
41.165290 84.870 -166.6806
41.463591 84.922 -169.2569
41.764053 84.977 -171.7937
42.066693 85.038 -174.2993
42.371525 85.107 -176.7853
42.678567 85.184 -179.2650
42.987834 85.271 178.2477
43.299341 85.365 175.7398
43.613106 85.465 173.1999
43.929145 85.571 170.6188
44.247473 85.679 167.9893
44.568109 85.787 165.3063
44.891068 85.894 162.5670
45.216367 85.996 159.7705
45.544023 86.092 156.9179
45.874054 86.180 154.0123
46.206476 86.257 151.0584
46.541307 86.322 148.0624
46.878565 86.373 145.0314
47.218266 86.411 141.9732
47.560429 86.433 138.8960
47.905072 86.438 135.8084
48.252212 86.427 132.7196
48.601867 86.399 129.6401
48.954056 86.352 126.5818
49.308798 86.287 123.5588
49.666109 86.203 120.5869
50.026010 86.101 117.6831
50.388520 85.982 114.8649
50.753656 85.849 112.1490
51.121437 85.704 109.5496
51.491884 85.551 107.0776
51.865016 85.394 104.7396
52.240851 85.238 102.5372
52.619410 85.088 100.4661
53.000712 84.948 98.5163
53.384777 84.823 96.6718
53.771625 84.718 94.9111
54.161276 84.636 93.2084
54.553751 84.578 91.5353
54.949070 84.545 89.8624
55.347254 84.538 88.1611
55.748323 84.555 86.4045
56.152298 84.595 84.5689
56.559201 84.654 82.6335
56.969052 84.731 80.5816
57.381873 84.822 78.4005
57.797686 84.924 76.0815
58.216512 85.034 73.6202
58.638373 85.149 71.0152
59.063291 85.268 68.2675
59.491288 85.388 65.3796
59.922386 85.510 62.3531
60.356608 85.630 59.1880
60.793977 85.749 55.8808
61.234515 85.866 52.4246
61.678246 85.976 48.8101
62.125192 86.077 45.0270
62.575377 86.165 41.0669
63.028824 86.235 36.9245
63.485557 86.281 32.5994
63.945599 86.298 28.0959
64.408975 86.283 23.4230
64.875709 86.229 18.5939
65.345825 86.134 13.6270
65.819348 85.994 8.5459
66.296302 85.803 3.3820
66.776713 85.557 -1.8254
67.260604 85.254 -7.0274
67.748002 84.889 -12.1660
68.238932 84.461 -17.1764
68.733420 83.969 -21.9899
69.231490 83.414 -26.5380
69.733170 82.800 -30.7566
70.238485 82.131 -34.5914
70.747463 81.414 -38.0020
71.260128 80.657 -40.9686
71.776508 79.871 -43.4968
72.296630 79.069 -45.6228
72.820521 78.267 -47.4165
73.348209 77.481 -48.9808
73.879720 76.730 -50.4471
74.415083 76.035 -51.9657
74.954326 75.410 -53.6907
75.497475 74.869 -55.7639
76.044561 74.416 -58.3004
76.595612 74.049 -61.3793
77.150655 73.757 -65.0432
77.709720 73.529 -69.3030
78.272837 73.352 -74.1466
78.840034 73.216 -79.5487
79.411342 73.116 -85.4771
79.986789 73.051 -91.8972
80.566406 73.021 -98.7720
81.150224 73.030 -106.0591
81.738272 73.081 -113.7060
82.330581 73.179 -121.6459
82.927182 73.324 -129.7954
83.528107 73.515 -138.0563
84.133386 73.750 -146.3228
84.743051 74.022 -154.4919
85.357134 74.324 -162.4743
85.975667 74.646 -170.2031
86.598682 74.981 -177.6362
87.226212 75.318 175.2435
87.858289 75.649 168.4341
88.494946 75.968 161.9185
89.136217 76.267 155.6714
89.782135 76.541 149.6634
90.432733 76.785 143.8669
91.088046 76.996 138.2596
91.748108 77.170 132.8287
92.412952 77.305 127.5724
93.082615 77.401 122.5008
93.757130 77.459 117.6324
94.436533 77.482 112.9911
95.120859 77.478 108.6003
95.810144 77.450 104.4797
96.504423 77.408 100.6411
97.203734 77.359 97.0869
97.908112 77.309 93.8097
98.617595 77.266 90.7923
99.332219 77.235 88.0097
100.052021 77.223 85.4312
100.777039 77.234 83.0220
101.507311 77.272 80.7455
102.242875 77.341 78.5642
102.983769 77.444 76.4404
103.730032 77.583 74.3367
104.481702 77.759 72.2159
105.238820 77.970 70.0405
106.001424 78.216 67.7731
106.769554 78.494 65.3755
107.543250 78.799 62.8096
108.322553 79.128 60.0388
109.107503 79.473 57.0294
109.898141 79.830 53.7526
110.694508 80.192 50.1859
111.496646 80.553 46.3138
112.304596 80.907 42.1272
113.118402 81.247 37.6223
113.938104 81.567 32.7983
114.763747 81.861 27.6559
115.595372 82.123 22.1958
116.433024 82.345 16.4184
117.276746 82.521 10.3257
118.126581 82.643 3.9243
118.982575 82.704 -2.7726
119.844772 82.698 -9.7416
120.713217 82.622 -16.9499
121.587954 82.475 -24.3585
122.469031 82.262 -31.9283
123.356492 81.988 -39.6259
124.250384 81.668 -47.4274
125.150753 81.317 -55.3184
126.057647 80.959 -63.2900
126.971113 80.619 -71.3339
127.891198 80.331 -79.4377
128.817950 80.129 -87.5833
129.751418 80.047 -95.7473
130.691651 80.107 -103.9065
131.638696 80.317 -112.0435
132.592604 80.665 -120.1503
133.553425 81.123 -128.2295
134.521208 81.657 -136.2906
135.496004 82.232 -144.3430
136.477864 82.817 -152.3916
137.466839 83.392 -160.4326
138.462981 83.941 -168.4526
139.466340 84.456 -176.4314
140.476971 84.932 175.6534
141.494925 85.370 167.8215
142.520256 85.768 160.0837
143.553016 86.127 152.4412
144.593260 86.445 144.8884
145.641043 86.720 137.4199
146.696418 86.948 130.0352
147.759441 87.128 122.7415
148.830166 87.261 115.5508
149.908651 87.348 108.4753
150.994951 87.390 101.5244
152.089123 87.389 94.7053
153.191223 87.344 88.0248
154.301310 87.250 81.4952
155.419441 87.103 75.1401
156.545674 86.896 68.9994
157.680069 86.625 63.1324
158.822683 86.284 57.6196
159.973578 85.875 52.5593
161.132813 85.400 48.0659
162.300447 84.866 44.2688
163.476543 84.286 41.3160
164.661162 83.676 39.3779
165.854364 83.060 38.6383
167.056213 82.464 39.2515
168.266772 81.922 41.2450
169.486102 81.469 44.3833
170.714268 81.136 48.0992
171.951334 80.938 51.6298
173.197364 80.873 54.3169
174.452424 80.922 55.8213
175.716578 81.054 56.1135
176.989893 81.239 55.3422
178.272434 81.448 53.7120
179.564270 81.660 51.4174
180.865467 81.861 48.6172
182.176092 82.037 45.4326
183.496216 82.182 41.9546
184.825905 82.287 38.2548
186.165229 82.346 34.3960
187.514259 82.353 30.4419
188.873065 82.301 26.4641
190.241717 82.185 22.5494
191.620287 82.002 18.8076
193.008847 81.749 15.3820
194.407468 81.426 12.4598
195.816225 81.039 10.2806
197.235190 80.598 9.1398
198.664438 80.125 9.3793
200.104042 79.646 11.3422
201.554078 79.199 15.2505
203.014622 78.824 20.9901
204.485750 78.562 27.9272
205.967538 78.440 35.0378
207.460064 78.473 41.3757
208.963405 78.651 46.4327
210.477640 78.953 50.1072
212.002848 79.343 52.4895
213.539108 79.783 53.7107
215.086500 80.237 53.8951
216.645105 80.671 53.1687
218.215005 81.058 51.6750
219.796281 81.382 49.5835
221.389015 81.632 47.0824
222.993292 81.812 44.3627
224.609193 81.929 41.5966
226.236804 81.999 38.9237
227.876209 82.039 36.4443
229.527494 82.067 34.2185
231.190745 82.099 32.2646
232.866048 82.142 30.5679
234.553491 82.198 29.0992
236.253163 82.261 27.8464
237.965150 82.321 26.8431
239.689544 82.370 26.1765
241.426433 82.408 25.9592
243.175909 82.440 26.2625
244.938062 82.480 27.0381
246.712984 82.538 28.0795
248.500768 82.622 29.0643
250.301507 82.729 29.6702
252.115295 82.853 29.6876
253.942226 82.983 29.0647
255.782396 83.109 27.8733
257.635901 83.229 26.2472
259.502837 83.344 24.3285
261.383301 83.456 22.2336
263.277392 83.573 20.0387
265.185209 83.698 17.7809
267.106850 83.830 15.4735
269.042417 83.962 13.1277
270.992009 84.084 10.7759
272.955729 84.185 8.4888
274.933678 84.256 6.3831
276.925961 84.290 4.6174
278.932681 84.290 3.3737
280.953942 84.264 2.8152
282.989850 84.227 3.0186
285.040511 84.195 3.9060
287.106032 84.187 5.2242
289.186521 84.211 6.6130
291.282086 84.274 7.7323
293.392836 84.371 8.3552
295.518881 84.495 8.3806
297.660333 84.635 7.7944
299.817302 84.777 6.6410
301.989902 84.905 5.0115
304.178245 85.004 3.0383
306.382446 85.069 0.8823
308.602620 85.098 -1.2885
310.838882 85.101 -3.3212
313.091348 85.096 -5.0992
315.360137 85.103 -6.5613
317.645367 85.145 -7.7166
319.947156 85.239 -8.6481
322.265625 85.396 -9.4972
324.600895 85.609 -10.4281
326.953086 85.866 -11.5901
329.322323 86.143 -13.0913
331.708729 86.416 -14.9893
334.112427 86.660 -17.2866
336.533543 86.854 -19.9320
338.972204 86.986 -22.8276
341.428536 87.050 -25.8496
343.902668 87.051 -28.8767
346.394729 87.002 -31.8187
348.904848 86.921 -34.6354
351.433156 86.827 -37.3362
353.979786 86.738 -39.9670
356.544869 86.666 -42.5942
359.128540 86.613 -45.2916
361.730934 86.575 -48.1260
364.352185 86.537 -51.1414
366.992431 86.484 -54.3459
369.651810 86.397 -57.7063
372.330459 86.264 -61.1550
375.028519 86.076 -64.6057
377.746130 85.833 -67.9692
380.483434 85.539 -71.1655
383.240574 85.202 -74.1278
386.017693 84.836 -76.8042
